0.4	3.02224	2.84015
0.402	3.02891	2.83628
0.404	3.03557	2.83241
0.406	3.04224	2.82855
0.408	3.0489	2.82468
0.41	3.05556	2.82081
0.412	3.06223	2.81695
0.414	3.06889	2.81308
0.416	3.07555	2.80921
0.418	3.08222	2.80534
0.42	3.08888	2.80147
0.422	3.09555	2.7976
0.424	3.10221	2.79372
0.426	3.10888	2.78984
0.428	3.11554	2.78596
0.43	3.12221	2.78208
0.432	3.12888	2.7782
0.434	3.13554	2.77431
0.436	3.14221	2.77042
0.438	3.14887	2.76652
0.44	3.15554	2.76262
0.442	3.16221	2.75871
0.444	3.16887	2.7548
0.446	3.17554	2.75089
0.448	3.18221	2.74696
0.45	3.18888	2.74304
0.452	3.19554	2.7391
0.454	3.20221	2.73516
0.456	3.20888	2.73121
0.458	3.21555	2.72726
0.46	3.22222	2.7233
0.462	3.22888	2.71933
0.464	3.23555	2.71536
0.466	3.24222	2.71137
0.468	3.24889	2.70738
0.47	3.25556	2.70339
0.472	3.26223	2.69938
0.474	3.2689	2.69537
0.476	3.27558	2.69136
0.478	3.28225	2.68733
0.48	3.28892	2.6833
0.482	3.2956	2.67927
0.484	3.30227	2.67523
0.486	3.30895	2.67119
0.488	3.31562	2.66714
0.49	3.3223	2.6631
0.492	3.32898	2.65905
0.494	3.33566	2.655
0.496	3.34234	2.65096
0.498	3.34902	2.64691
0.5	3.3557	2.64287
0.502	3.36238	2.63883
0.504	3.36907	2.6348
0.506	3.37575	2.63077
0.508	3.38244	2.62675
0.51	3.38913	2.62273
0.512	3.39583	2.61872
0.514	3.40252	2.61471
0.516	3.40922	2.6107
0.518	3.41593	2.6067
0.52	3.42264	2.6027
0.522	3.42935	2.5987
0.524	3.43607	2.5947
0.526	3.44279	2.5907
0.528	3.44952	2.58669
0.53	3.45626	2.58268
0.532	3.463	2.57866
0.534	3.46976	2.57463
0.536	3.47652	2.57059
0.538	3.48329	2.56654
0.54	3.49007	2.56248
0.542	3.49687	2.55839
0.544	3.50368	2.5543
0.546	3.5105	2.55018
0.548	3.51733	2.54605
0.55	3.52418	2.54189
0.552	3.53104	2.53772
0.554	3.53793	2.53352
0.556	3.54482	2.5293
0.558	3.55174	2.52505
0.56	3.55867	2.52078
0.562	3.56562	2.51647
0.564	3.57259	2.51215
0.566	3.57959	2.50778
0.568	3.5866	2.5034
0.57	3.59364	2.49898
0.572	3.6007	2.49453
0.574	3.60778	2.49006
0.576	3.6149	2.48554
0.578	3.62203	2.481
0.58	3.62919	2.47642
0.582	3.63637	2.47182
0.584	3.6436	2.46716
0.586	3.65083	2.46249
0.588	3.65812	2.45776
0.59	3.66542	2.45302
0.592	3.67277	2.44822
0.594	3.68013	2.4434
0.596	3.68754	2.43853
0.598	3.69497	2.43363
0.6	3.70244	2.42868
0.602	3.70995	2.4237
0.604	3.71748	2.41868
0.606	3.72507	2.41361
0.608	3.73267	2.40852
0.61	3.74034	2.40336
0.612	3.74801	2.39819
0.614	3.75576	2.39293
0.616	3.76352	2.38767
0.618	3.77134	2.38234
0.62	3.77919	2.37697
0.622	3.78708	2.37156
0.624	3.79503	2.36608
0.626	3.80298	2.3606
0.628	3.81103	2.35501
0.63	3.81908	2.34942
0.632	3.82721	2.34374
0.634	3.83536	2.33803
0.636	3.84356	2.33227
0.638	3.85182	2.32643
0.64	3.86008	2.32059
0.642	3.86845	2.31462
0.644	3.87682	2.30865
0.646	3.88527	2.30258
0.648	3.89375	2.29647
0.65	3.90226	2.29031
